
10 22
10010 99
20010 107
30010 107
40010 145
50010 119
60010 146
70010 123
80010 122
90010 122
100010 123
110010 123
120010 123
130010 124
140010 130
150010 147
160010 130
170010 130
180010 130
190010 149
200010 130
210010 130
220010 150
230010 130
240010 130
250010 130
260010 130
270010 140
280010 140
290010 140
300010 140
310010 140
320010 139
330010 140
340010 139
350010 139
360010 140
370010 141
380010 140
390010 140
400010 142
410010 140
420010 140
430010 140
440010 139
450010 140
460010 138
470010 160
480010 138
490010 160
500010 140
510010 144
520010 153
530010 167
540010 173
550010 167
560010 169
570010 167
580010 166
590010 168
600010 168
610010 181
620010 171
630010 172
640010 168
650010 181
660010 167
670010 167
680010 168
690010 168
700010 168
710010 167
720010 169
730010 167
740010 168
750010 176
760010 167
770010 164
780010 167
790010 167
800010 166
810010 167
820010 168
830010 169
840010 168
850010 167
860010 167
870010 169
880010 168
890010 168
900010 169
910010 169
920010 182
930010 167
940010 168
950010 169
960010 168
970010 173
980010 167
990010 164
1000010 167
11000010 200
21000010 207
31000010 204
41000010 214
51000010 214
61000010 214
71000010 222
81000010 219
91000010 223
101000010 223
111000010 219
121000010 228
131000010 222
141000010 227
151000010 232
161000010 230
171000010 234
181000010 230
191000010 231
201000010 230
211000010 230
221000010 230
231000010 231
241000010 231
251000010 232
261000010 370
271000010 238
281000010 239
291000010 239
301000010 238
311000010 240
321000010 238
331000010 237
341000010 238
351000010 239
361000010 238
371000010 238
381000010 238
391000010 235
401000010 238
411000010 236
421000010 238
431000010 237
441000010 238
451000010 239
461000010 238
471000010 243
481000010 239
491000010 238
501000010 238
511000010 236
521000010 238
531000010 239
541000010 246
551000010 243
561000010 246
571000010 251
581000010 247
591000010 244
